iso3,tl2_id,OLD_SH,WORKAGE_SH,YOUTH_SH,POP_CH,POP_T,POP_DENS,NETNAT_RATE,BIRTH_RA,DEATH_RA,NETMOB_ALL,NETMIG_RATE,NETMOB_RATE,NETMOBMIG_RATE,SEX_RATIO_TOT,BUILT_S__T,BUILT_S_CH__T,AIR_TEMP2M,AIR_TEMP2M_DIFF_1981_2010,PRECIP_SUM,PRECIP_SUM_DIFF_1981_2010,EXT_PRECIP_DAYS,EXT_PRECIP_DAYS_1981_2010,SOIL_MOIST_L1_CH_1981_2018,CDD_T_22C,CDD_T_22C_CH,HDD_T_15C,HDD_T_15C_CH,UCTCI_GT32,UCTCI_GT38,UCTCI_GT46,UCTCI_GT32_DIFF_1981_2010,UCTCI_GT38_DIFF_1981_2010,UCTCI_GT46_DIFF_1981_2010,FIRE_TOTAL_AREA_SH,RIVER_FLOOD_RP100_POP_SH,COASTAL_FLOOD_RP100_POP_SH,FOREST_CH,OOKLA_FIXED_DOWNLOAD_DEV,OOKLA_MOBILE_DOWNLOAD_DEV,OOKLA_FIXED_UPLOAD_DEV,OOKLA_MOBILE_UPLOAD_DEV,MEDIAN_DISP_INC_PC_CURR_PR,MEDIAN_DISP_INC_PC_REAL_PPP,POV_RATE_60,UNEM_RA_15_64,UNEM_RA_15_MAX
AUS,AU1,17.22,64.34,18.45,,8093820.0,10.1,2.9362987796256976,12.4872,6.7262,-118109,1.738227737817592,-1.5044065180037371,0.23382121981385504,98.84,171.23181946463774,31.72162777184246,17.9390796462055,0.6055433306585556,0.5504137064950501,0.009752168961533558,5.421925844436096,0.2271648617682617,-2.3124676379219555,520.8427133650981,106.05768295167313,595.851450862684,-57.122327611565446,42.85598953156691,7.858160729571855,0.40127064429853815,6.304443675212033,2.480668434783113,0.3078798201494038,7.38024157001332,5.17513020601612,0.78748304168527,2.0684946829299022,2.7836836627288193,6.593971647331026,1.4325678206088497,3.441028628096331,,,,,
AUS,AU2,16.38,65.4,18.22,,6548040.0,28.77,2.9230927965967175,11.9452,6.2528,8518,1.4276484967776755,0.13521064160767007,1.5628591383853456,97.76,181.5069218341814,36.01402878060348,14.309873358698194,0.38581274023302436,0.6862987339653099,0.039014221826587536,4.90649031883345,0.4374168104740126,1.104821408736445,158.39271439752372,35.96112482071315,1049.10520528597,-44.63748162648157,28.286323637373222,6.104862445757402,0.48515522535318195,3.8182117611813964,1.741317711814282,0.3731136306635749,7.824268273111359,2.93047308079725,0.27855683999446,1.8323410664740198,5.992885425899854,6.882813398660656,3.557036381776553,4.951809771757835,,,,,
AUS,AU3,16.57,64.47,18.96,,5217650.0,3.01,3.0470520679250948,12.1338,6.2258,149290,0.916733118657893,3.029196265702453,3.9459293843603462,98.3,225.7508549555447,43.22797093358548,23.935253398171163,0.7414964015382068,0.5525900773451843,-0.00867140436671664,6.868092446378833,0.31127350053636516,-4.454817255121113,1312.864328596878,192.21356860867044,91.16295657502397,-29.864636627259358,93.1850954225385,11.258844957036704,0.14418073909702075,8.262186294344435,1.5414789431422466,0.04901259430924656,11.02442034340514,11.2030417419485,1.8973134945110302,2.41467623062603,-2.39944505436985,-8.347635874612912,-1.8913177978001052,-6.7185687965921055,,,,,
AUS,AU4,19.55,63.18,17.27,,1803190.0,1.83,1.5613924526338308,10.8516,7.7988,-12844,1.5473430426512336,-0.7425951515081435,0.8047478911430901,97.75,248.38805493199072,21.017453241024974,19.921402171703242,0.31672109278037014,0.2028907542908235,-0.03262682523364689,1.294226248494927,-0.29643090451364634,-7.432828116075019,778.1337795013569,61.620017829542235,346.4423054560413,-24.19470567593263,30.76703292731341,8.181540024660475,0.6053740292145565,1.3657689179227852,1.055058638440213,0.3661117170257858,1.60139358015935,1.92044289104139,0.47879923361441995,12.288402757788838,-10.565743942125998,6.182343036637759,-6.492773295385422,6.412214003363252,,,,,
AUS,AU5,15.71,65.02,19.28,,2749860.0,1.09,3.6117144204237164,12.583400000000001,5.5708,-15022,1.4246902511226707,-0.5805424373352708,0.8441478137873998,100.22,235.02467884273688,32.09625963336996,23.326457547965145,0.487547986291424,0.29834019759144736,-0.04191126584741277,2.977519221331593,-0.27182709839872726,-9.888973781721322,1375.413854478822,105.66879649187472,183.5133140693187,-30.085589076202478,68.55702069496158,17.11951751402858,0.9122044023287394,5.387330947715142,0.6782628496084033,0.2625939908408428,25.035923069306392,6.1841231111298205,0.31366982763972,4.743551481213725,-14.901926565158789,-20.337470348955634,-5.760279331886832,-13.816809355502896,,,,,
AUS,AU6,20.43,62.69,16.88,,567909.0,8.36,1.1296098606158342,10.433,8.272,6215,1.2062673662373846,1.176361475155397,2.3826288413927816,98.45,273.2510791316249,46.012630328337785,10.399328763421199,0.3991851437393933,1.2022643776248843,0.08366064180160512,9.949337198334371,1.6846827861749536,1.8387508904112781,2.4627260409058715,0.4392978349986382,1817.8159282838224,-116.92122531432801,2.7403062543865877,0.09970127787686578,0.0,0.7737685765471667,0.04299428986496875,0.0,3.3601071644838996,11.07970642972993,0.23259612929218998,0.7129802693744327,-13.314081547592247,-40.83741502863204,-20.6301674741218,-6.401878568155989,,,,,
AUS,AU7,8.66,70.13,21.2,,249200.0,0.18,5.478701326961126,15.389599999999998,4.45,-16562,0.30383501033603183,-6.6738931580707685,-6.370058147734737,103.68,248.45965568360725,46.48922842004871,26.157874015567643,0.8124516634919324,0.4436532478676997,-0.09736990256603534,5.324275245448446,-0.9320934897141674,-11.566039667131456,1914.4462949685308,243.25140051472854,82.42005195520937,-18.568792026170076,287.8610852047842,112.54186470947184,3.388361410432821,16.11977645348618,14.569878193930611,1.9128087686515058,33.377782948847326,4.60780974667139,1.48612060959498,0.26185190533924185,-5.949236427961702,-53.716567921577564,-27.56015619457251,-21.256305555798008,,,,,
AUS,AU8,13.33,68.22,18.45,,453558.0,193.09,4.205132142103142,12.8054,4.787,-1486,0.4239199278352494,-0.35650538356716505,0.06741454426808437,97.46,149.978003002984,27.19837146265399,11.357017570416911,0.29734001407250227,0.8869153920977293,0.10852615018186862,8.011816958277254,0.7621713772992388,3.4126085521031913,37.21206614772733,16.235964548110807,1744.4417807019522,-61.36942250279817,15.02394465003061,1.0808681182971562,0.0,5.099482025163569,1.0145628035894263,0.0,32.36920639647871,1.6600701938295,0.0,-2.961947928744609,-3.8766824780995446,8.923789653338895,4.7258578564884255,-5.400152852545913,,,,,
AUT,AT11,22.99,63.87,13.15,2.2583338774135684,297583.0,78.73,-2.1093230847223077,7.5132,11.705200000000001,8258,0.8844222482547903,2.828644045735112,3.713066293989902,96.35,206.76604683776677,30.955563504169042,11.358904062316489,1.402267773031348,0.7436423531602772,0.01780987055970876,3.191753952898793,-0.5244312495830269,-1.3365961621571776,86.05346414352057,40.561284689996036,2019.3634097284419,-326.17516862627974,25.748629511631,0.9280390507637325,0.0,10.51360866023309,0.6247933428190273,0.0,0.0,12.70460468129988,0.0,2.00259235255993,-9.790613926195363,-20.77037401429282,-22.560142924999724,-19.672447801605877,,,,,
AUT,AT12,20.72,64.84,14.44,2.727838954096596,1698800.0,89.85,-0.945099804892691,8.9328,10.806799999999999,25604,0.9628095452498875,1.5370853969683327,2.49989494221822,97.12,179.62837333696336,27.063298304775596,9.943072620202399,1.4454322259556587,0.8743885691708521,0.0016755257354672802,4.0581510271315215,-0.43435025479759126,-1.57711563774674,42.15799499598782,20.66104072531127,2326.939085763,-371.75798389919953,23.72996764526717,0.9271766392170466,0.0,10.008076989003953,0.6515316381164411,0.0,0.005891515122751946,26.05997650218386,0.0,-2.9729802975690434,-9.607925895893553,-11.870440610592095,-7.989770248898316,-9.170238058574595,,,,,
