iso3,geo_level,AGE_DEP_YEAR,POP_CH_YEAR,POP_T_YEAR,POP_DENS_YEAR,NAT_YEAR,year_i,year_f,MIGFLOW_YEAR,SEX_RATIO_YEAR,MIGRANT_SH_YEAR,BUILT_S_YEAR,BUILT_V_YEAR,BUILT_H_YEAR,year,BUILT_S_CH_YEAR,TEMP_YEAR,HOT_DAYS_YEAR,ICING_DAYS_YEAR,TROPICAL_NIGHTS_YEAR,PRECIP_YEAR,DROUGHTS_YEAR,LST_YEAR,UTCI_YEAR,DD_YEAR,FIRE_YEAR_x,FIRE_YEAR_y,RIVER_FLOOD_YEAR,COASTAL_FLOOD_YEAR,GREEN_AREAS_YEAR,FOREST_YEAR,SOLAR_POWER_YEAR,WIND_POWER_YEAR,OOKLA_YEAR,INC_YEAR,GINI_YEAR,POV_YEAR,RENT_YEAR,HOUSE_PRICE_YEAR,UNEMP_YEAR
ESP,sau3,2021.0,2015-2020,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ESP,sau3,2021.0,2015-2020,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
EST,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
EST,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
FIN,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2021.0
FRA,sau3,2019.0,2014-2019,2019.0,2019.0,2017-2021,2015.0,2019.0,2015-2019,2019.0,2018.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,2020.0,2020.0,2020.0,2022.0,2021.0,2019.0
FRA,sau3,2019.0,2014-2019,2019.0,2019.0,2017-2021,2015.0,2019.0,2015-2019,2019.0,2018.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,2020.0,2020.0,2020.0,2022.0,2021.0,2019.0
GBR,sau3,2021.0,2015-2020,2021.0,2021.0,2016-2020,2016.0,2020.0,2016-2020,2021.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
GBR,sau3,2021.0,2015-2020,2021.0,2021.0,2016-2020,2016.0,2020.0,2016-2020,2021.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
HUN,sau2,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,,,,,,,
IRL,sau3,2016.0,,2016.0,2016.0,,,,,2016.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ISL,sau3,2023.0,2017-2022,2023.0,2023.0,2018-2022,2018.0,2022.0,2018-2022,2023.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ISL,sau3,2023.0,2017-2022,2023.0,2023.0,2018-2022,2018.0,2022.0,2018-2022,2023.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ISR,sau3,2021.0,,2021.0,2021.0,,,,,2021.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
ISR,sau3,2021.0,,2021.0,2021.0,,,,,2021.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
ITA,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2021.0
ITA,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2021.0
JPN,sau3,2020.0,2015-2020,2020.0,2020.0,2016-2020,,,,2020.0,2019.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
JPN,sau3,2020.0,2015-2020,2020.0,2020.0,2016-2020,,,,2020.0,2019.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
KOR,sau3,2021.0,2015-2020,2021.0,2021.0,2017-2021,,,,2021.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
LTU,sau3,2023.0,2017-2022,2023.0,2023.0,2018-2022,2017.0,2021.0,2017-2021,2023.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
LUX,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,,2011.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,2022.0,,,,,,
LVA,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,,,,2000-2020,2022,2022,2022.0,,,,,,
MEX,sau3,2020.0,,2020.0,2020.0,2017-2021,,,,2020.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
MEX,sau3,2020.0,,2020.0,2020.0,2017-2021,,,,2020.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
NLD,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
NLD,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
NOR,sau3,2022.0,2017-2022,2022.0,2022.0,2018-2022,2018.0,2022.0,2018-2022,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
NOR,sau3,2022.0,2017-2022,2022.0,2022.0,2018-2022,2018.0,2022.0,2018-2022,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
NZL,sau3,2022.0,,2022.0,2022.0,,,,,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
POL,sau3,2021.0,2015-2020,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
PRT,sau3,2020.0,2014-2019,2020.0,2020.0,2017-2021,2016.0,2020.0,2016-2020,2020.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
PRT,sau3,2020.0,2014-2019,2020.0,2020.0,2017-2021,2016.0,2020.0,2016-2020,2020.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
SVK,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,2022.0,,,,,,
SVN,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
SWE,sau3,2022.0,2016-2021,2022.0,2022.0,2018-2022,2018.0,2022.0,2018-2022,,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
SWE,sau3,2022.0,2016-2021,2022.0,2022.0,2018-2022,2018.0,2022.0,2018-2022,,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
TUR,sau4,2022.0,,2022.0,2022.0,,,,,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
USA,sau3,2021.0,2016-2021,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2021.0
USA,sau3,2021.0,2016-2021,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2021.0
DEU,sau5,,,,,,,,,,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
IRL,sau4,,,,,,,,,,2016.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
BGR,sau3,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,,,,,,,
CYP,sau3,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
FIN,sau2,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
FIN,sau2,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
FRA,sau2,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,2020.0,2020.0,2020.0,2022.0,,2019.0
FRA,sau2,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,2020.0,2020.0,2020.0,2022.0,,2019.0
GRC,sau3,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
HRV,sau3,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
HUN,sau3,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,,,2021.0,2000-2020,2022,2022,2022.0,,,,,,
LVA,sau2,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
MLT,sau3,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,,2017-2021,,,2021.0,2000-2020,2022,2022,,,,,,,
NZL,sau4,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
ROU,sau3,,,,,,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,,,,,,,
